epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,0.007137567736208439,,,,,
0,99,,0.008478750474750996,,,,,
0,149,,0.009489667601883411,,,,,
0,199,,0.007518255617469549,,,,,
0,249,,0.008863596245646477,,,,,
0,299,,0.008007281459867954,,,,,
0,349,,0.007085167802870274,,,,,
0,365,,,0.02167164348065853,1.5096381902694702,0.033820465207099915,1.7717093229293823,0.014185546897351742
0,365,0.008459686301648617,,,,,,
1,399,,0.007566106505692005,,,,,
1,449,,0.008663930930197239,,,,,
1,499,,0.008622530847787857,,,,,
1,549,,0.007699109148234129,,,,,
1,599,,0.00817547831684351,,,,,
1,649,,0.008254541084170341,,,,,
1,699,,0.007833084091544151,,,,,
1,731,,,0.021569423377513885,1.7557348012924194,0.0337003618478775,1.7073527574539185,0.01424883957952261
1,731,0.008213017135858536,,,,,,
2,749,,0.007407031487673521,,,,,
2,799,,0.007717548869550228,,,,,
2,849,,0.008455264382064342,,,,,
2,899,,0.006943546235561371,,,,,
2,949,,0.009379327297210693,,,,,
2,999,,0.007045141886919737,,,,,
2,1049,,0.008185933344066143,,,,,
2,1097,,,0.02153961919248104,2.014343023300171,0.033578626811504364,1.6911150217056274,0.014166519045829773
2,1097,0.008091174997389317,,,,,,
3,1099,,0.006843027658760548,,,,,
3,1149,,0.008386863395571709,,,,,
3,1199,,0.008169001899659634,,,,,
3,1249,,0.008837148547172546,,,,,
3,1299,,0.006910186726599932,,,,,
3,1349,,0.008541746065020561,,,,,
3,1399,,0.008726704865694046,,,,,
3,1449,,0.00785279180854559,,,,,
3,1463,,,0.021751247346401215,2.8109982013702393,0.033969033509492874,1.6635364294052124,0.01456993818283081
3,1463,0.007984532043337822,,,,,,
