timestamp_ms,date,open,high,low,close,volume,wall_street_threshold_pct,behavioral_threshold_pct,rsi_14,macd_line,macd_signal,macd_hist,atr_14,atr_14_norm,bb_width,open_norm,high_norm,low_norm,close_norm,volume_norm,bar_index,structure_token_id,wave_degree_id,pattern_type_id,pattern_confidence,correction_or_impulse_type_id,wave_match_confidence,lunar_phase_sin,lunar_phase_cos,lunar_anomalistic_normalized,lunar_node_distance,mercury_retrograde,aspect_jupiter_uranus_intensity,aspect_mars_uranus_intensity,days_to_fomc,days_since_last_fomc,days_to_nfp,high_impact_within_5d,high_impact_within_2d,post_event_window,close_pct_change,asset_timeframe,time_idx
1410912000000.0,2014-09-17,465.86,468.17,452.42,457.33,21056800.0,10.33,10.33,100.0,0.0,0.0,0.0,15.75,0.034439026523516936,,,,,,,0,-1,-1,0,0.0,0,0.0,-0.9615885913641093,0.27449477400924754,0.8814616923961038,80.89188024047466,0,0.4699508287339589,0.0,4151,999,16,0,0,0,-0.07191743380053783,BTC_1D,0
1410998400000.0,2014-09-18,456.86,456.86,413.1,424.44,34483200.0,12.14,12.57,0.0,-2.623703703703711,-0.5247407407407423,-2.098962962962969,17.784285714285712,0.04190058833824736,,,,,,,1,-1,-1,0,0.0,0,0.0,-0.8912376475820837,0.45353660881163016,0.9372112212930372,87.05240303940053,0,0.5350960389983105,0.0,4150,999,15,0,0,0,-0.06983319197059656,BTC_1D,1
1411084800000.0,2014-09-19,424.1,427.83,384.53,394.8,37919700.0,14.04,14.9,0.0,-7.0138567057085766,-1.8225639337343091,-5.191292771974267,19.606836734693875,0.04966270702809999,,,,,,,2,-1,-1,0,0.0,0,0.0,-0.7891370165004444,0.6142172003361493,0.9704332388852933,75.10346060877174,0,0.5999931274436595,0.0,4149,999,14,0,0,0,0.03571428571428559,BTC_1D,2
1411171200000.0,2014-09-20,394.67,423.3,389.88,408.9,36863600.0,14.11,15.11,3.2143921395573614,-9.248718952798356,-3.3077949375471185,-5.9409240152512375,20.593491253644313,0.050363148089127695,,,,,,,3,-1,-1,0,0.0,0,0.0,-0.6591220198384509,0.7520360117468317,0.982356884882562,63.200430601119166,0,0.6646295837823044,0.0,4148,999,13,0,0,0,-0.02465150403521643,BTC_1D,3
1411257600000.0,2014-09-21,408.08,412.43,393.18,398.82,26580100.0,14.46,15.42,3.13676615812885,-11.698383460315426,-4.9859126421007804,-6.712470818214646,20.49752759266972,0.05139543551644782,,,,,,,4,-1,-1,0,0.0,0,0.0,-0.5054210224407358,0.8628728701697378,0.9752802225984485,51.29099586319714,0,0.728992727096998,0.0,4147,999,12,0,0,0,0.008349631412667424,BTC_1D,4
1411344000000.0,2014-09-22,399.1,406.92,397.13,402.15,24127600.0,13.99,14.72,3.9618920719247086,-13.218680342725463,-6.632466182225717,-6.586214160499746,19.732704193193314,0.049068019876148984,,,,,,,5,-1,-1,0,0.0,0,0.0,-0.3327994190632685,0.9429976387410263,0.9520933556029609,39.33703403220929,0,0.7930697315014754,0.0,4146,999,11,0,0,0,0.08365037921173712,BTC_1D,5
1411430400000.0,2014-09-23,402.09,441.56,396.2,435.79,45099500.0,13.83,14.84,12.107259945600532,-11.575623138428739,-7.621097573466322,-3.9545255649624167,21.563225322250936,0.049480771294088746,,,,,,,6,-1,-1,0,0.0,0,0.0,-0.14667078925658178,0.9891853615874283,0.9158187416364533,27.309485956784897,0,0.8568476530575302,0.0,4145,999,10,0,0,0,-0.02889006172697861,BTC_1D,6
1411516800000.0,2014-09-24,435.75,436.11,421.13,423.2,30627700.0,14.06,14.95,11.707066813419672,-11.160742159125846,-8.329026490598228,-2.831715668527618,21.092994942090158,0.049841670468076936,,,,,,,7,-1,-1,0,0.0,0,0.0,0.046859967129290137,0.9989014683544327,0.869211840624165,15.182095355601575,0,0.9203134586305737,0.0,4144,999,9,0,0,0,-0.02748109640831753,BTC_1D,7
1411603200000.0,2014-09-25,423.16,423.52,409.47,411.57,26814400.0,14.24,15.01,11.334366561482398,-11.636254301733288,-8.99047205282524,-2.6457822489080485,20.589923874798,0.05002775682094905,,,,,,,8,-1,-1,0,0.0,0,0.0,0.24103680131555466,0.9705159763814122,0.8144744877773488,2.9289868217362596,0,0.9834540585741536,0.0,4143,999,8,0,0,0,-0.017372500425201,BTC_1D,8
1411689600000.0,2014-09-26,411.43,414.94,400.01,404.42,21460800.0,14.33,14.97,11.100396076596667,-12.446570033955823,-9.681691649051357,-2.764878384904465,20.185643598026715,0.04991257504086522,,,,,,,9,-1,-1,0,0.0,0,0.0,0.4285680994646342,0.9035094820317446,0.7531308202463097,9.477111619556638,0,0.9537436549422215,0.0,4142,999,7,0,0,0,-0.012116116908164831,BTC_1D,9
1411776000000.0,2014-09-27,403.56,406.62,397.37,399.52,15029300.0,14.12,14.57,10.933820818348423,-13.330474724056614,-10.41144826405241,-2.919026460004204,19.404526198167666,0.04856959901423625,,,,,,,10,-1,-1,0,0.0,0,0.0,0.6017928106855428,0.7986522478570973,0.686094568586341,22.06619183096828,0,0.8912927629352103,0.0,4141,999,6,0,0,0,-0.05591710052062471,BTC_1D,10
1411862400000.0,2014-09-28,399.47,401.02,374.33,377.18,23613300.0,15.27,15.85,10.183509874580352,-15.653186663889926,-11.459795944019914,-4.1933907198700116,19.924917184012834,0.052826017243790324,,,,,,,11,-1,-1,0,0.0,0,0.0,0.752874605635355,0.6581639827500505,0.6139254533489101,34.870131709353984,0,0.8292062703569627,0.0,4140,999,5,1,0,0,-0.004533644413807658,BTC_1D,11
1411948800000.0,2014-09-29,376.93,385.21,372.24,375.47,32497700.0,15.09,15.52,10.126228336663871,-17.43100158354406,-12.654037071924744,-4.776964511619315,19.428137385154773,0.051743514488919944,,,,,,,12,-1,-1,0,0.0,0,0.0,0.8740258116808455,0.48587949176276124,0.5372402586779753,47.92173458519488,0,0.7674970560539488,0.0,4139,999,4,1,0,0,0.03054837936452981,BTC_1D,12
1412035200000.0,2014-09-30,376.09,390.98,373.44,386.94,34707300.0,14.59,14.96,13.635402513780491,-17.7102468729193,-13.665279032123657,-4.044967840795643,19.29327042907229,0.049861142371097046,,,,,,,13,-1,-1,0,0.0,0,0.0,0.9577986039715612,0.28744014025554676,0.45721125918587546,61.2539303358177,0,0.7061778289241991,0.0,4138,999,3,1,0,0,-0.00860598542409674,BTC_1D,13
1412121600000.0,2014-10-01,387.43,391.38,380.78,383.61,26229400.0,14.4,14.6,13.470951809188364,-17.992843645245557,-14.530791954748038,-3.4620516904975194,18.672322541281414,0.04867527577821593,,,,,,,14,-1,-1,0,0.0,0,0.0,0.9975120219655028,0.07049656753554837,0.37605058874598307,74.89393850862325,0,0.6452610951895029,0.0,4137,999,2,1,1,0,-0.022262193373478345,BTC_1D,14
1412208000000.0,2014-10-02,383.99,385.5,372.95,375.07,21777700.0,14.49,14.59,13.036707613968929,-18.690458282877273,-15.362725220373886,-3.3277330625033876,18.235013788332743,0.04861762814496692,,,,,,,15,-1,-1,0,0.0,0,0.0,0.9878899079669204,-0.15515646856354243,0.29735147207832535,88.85158006925761,0,0.5847591374676386,0.0,4136,999,1,1,1,0,-0.041485589356653474,BTC_1D,15
1412294400000.0,2014-10-03,375.18,377.7,357.86,359.51,30901200.0,15.19,15.31,12.261167997510398,-20.265279343325176,-16.343236044964144,-3.9220432983610323,18.34965566059469,0.05104073783926647,,,,,,,16,-1,-1,0,0.0,0,0.0,0.9259383681278556,-0.37767464626146635,0.22614892202156409,76.88971309525897,0,0.5246840082017944,0.0,4135,999,0,1,1,0,-0.08522711468387523,BTC_1D,16
1412380800000.0,2014-10-04,359.89,364.49,325.89,328.87,47236500.0,17.54,18.06,10.887650812141302,-23.712386677370432,-17.817066171445404,-5.895320505925028,19.79610882769507,0.06019432854226615,,,,,,,17,-1,-1,0,0.0,0,0.0,0.8119659831593078,-0.5837047560129511,0.16858668037396285,62.37332048898645,0,0.46504754081742505,0.0,4134,999,34,0,0,0,-0.025420378873110994,BTC_1D,17
1412467200000.0,2014-10-05,328.92,341.8,289.3,320.51,83308096.0,19.55,20.72,10.540695360113531,-26.809779754729277,-19.61560888810218,-7.194170866627097,22.132101054288277,0.06905276295369342,,,,,,,18,-1,3,0,0.0,0,0.0,0.6504647668219962,-0.7595364290955413,0.1311481645622405,47.66720768732364,1,0.40586139049256487,0.0,4133,999,33,0,0,0,0.02985866275623228,BTC_1D,18
1412553600000.0,2014-10-06,320.39,345.13,302.56,330.08,79011800.0,19.97,21.44,13.922282765871046,-28.16756886371718,-21.32600088322518,-6.841567980491998,23.591950978981973,0.07147343364936372,0.43089298137060167,-0.17829544842514536,-0.11484474582530795,-0.2240240671541308,-0.15344349579004335,2.259592085914546,19,-1,3,0,0.0,0,0.0,0.4504289335484404,-0.8928122847622644,0.11953516879225538,32.86539215138828,1,0.3471371119638036,0.0,4132,999,32,0,0,0,0.018510664081434758,BTC_1D,19
1412640000000.0,2014-10-07,330.58,339.25,320.48,336.19,49199900.0,19.46,20.74,16.102785311194552,-28.42295840650013,-22.745392387880173,-5.677566018619956,23.24752590905469,0.06914996254812662,0.40143154501049305,-0.1387826558152621,-0.11619582547440153,-0.16509488031845598,-0.12416764794764644,1.352595401345535,20,-1,3,0,0.0,0,0.0,0.22474573465975858,-0.9744174437848726,0.13743452930695305,18.08603417060612,1,0.2888862796872006,0.0,4131,999,31,0,0,0,0.049823016746482596,BTC_1D,20
